++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
 Tue Jun 28 11:57:23 2016
 a 1.1 b -90 a 0.8 b -90 a 0.2 c 0.6 180 a 0.6 b -90 a 0.8 b -90 a 1.2 
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      length        time  angle(tem)  angle(ave)  angle(des)        C_PI   field dir temperature
        0.02        0.05        5.19        5.19        0.00        0.00        0.00       20.18
        0.04        0.10        0.00        3.79        0.00        0.00        0.00       20.18
        0.06        0.15        0.00        1.19        0.00        0.00        0.00       19.98
        0.08        0.20        0.00        0.00        0.00        0.00        0.00       19.98
        0.10        0.25        0.00        0.00        0.00        0.00        0.00       19.99
        0.12        0.30        5.19        1.30        0.00        0.00        0.00       19.99
        0.14        0.35        4.76        2.49        0.00        0.00        0.00       20.15
        0.16        0.40        0.00        1.19        0.00        0.00        0.00       20.15
        0.18        0.45        0.00        0.00        0.00        0.00        0.00       20.04
        0.20        0.50        0.00        0.00        0.00        0.00        0.00       20.04
        0.22        0.55        0.00        0.00        0.00        0.00        0.00       19.99
        0.24        0.60        0.00        0.00        0.00        0.00        0.00       19.99
        0.26        0.65        0.00        0.00        0.00        0.00        0.00       20.12
        0.28        0.70        0.00        0.00        0.00        0.00        0.00       20.12
        0.30        0.75        0.00        0.00        0.00        0.00        0.00       20.08
        0.32        0.80        4.09        1.02        0.00        0.00        0.00       20.08
        0.34        0.85        3.81        1.97        0.00        0.00        0.00       20.17
        0.36        0.90        4.09        4.24        0.00        0.00        0.00       20.17
        0.38        0.95        0.00        2.04        0.00        0.00        0.00       20.07
        0.40        1.00        4.40        1.10        0.00        0.00        0.00       20.07
        0.42        1.05        4.40        3.30        0.00        0.00        0.00       20.08
        0.44        1.10        4.40        4.40        0.00        0.00        0.00       20.08
        0.46        1.15        0.00        3.22        0.00        0.00        0.00       20.09
        0.49        1.20        4.09        3.06        0.00        0.00        0.00       20.09
        0.50        1.25        4.09        3.06        0.00        0.00        0.00       19.95
        0.52        1.30        4.40        3.22        0.00        0.00        0.00       19.95
        0.54        1.35        4.40        4.40        0.00        0.00        0.00       19.95
        0.56        1.40        4.09        4.41        0.00        0.00        0.00       19.95
        0.59        1.45        4.40        3.31        0.00        0.00        0.00       20.08
        0.60        1.50        4.76        3.39        0.00        0.00        0.00       20.08
        0.62        1.55        4.76        4.58        0.00        0.00        0.00       20.28
        0.65        1.60        4.09        4.41        0.00        0.00        0.00       20.28
        0.66        1.65        4.40        3.22        0.00        0.00        0.00       20.10
        0.68        1.70        4.76        3.31        0.00        0.00        0.00       20.10
        0.71        1.75        4.76        4.59        0.00        0.00        0.00       20.11
        0.72        1.80        4.40        4.67        0.00        0.00        0.00       20.11
        0.75        1.85        4.09        4.41        0.00        0.00        0.00       20.01
        0.76        1.90        4.09        4.16        0.00        0.00        0.00       20.01
        0.78        1.95        4.76        4.26        0.00        0.00        0.00       20.16
        0.81        2.00        4.76        4.50        0.00        0.00        0.00       20.16
        0.82        2.05        4.09        4.33        0.00        0.00        0.00       20.10
        0.84        2.10        0.00        3.14        0.00        0.00        0.00       20.10
        0.87        2.15        4.40        2.20        0.00        0.00        0.00       20.00
        0.88        2.21        5.19        3.50        0.00        0.00        0.00       20.00
        0.91        2.26        4.76        4.78        0.00        0.00        0.00       20.08
        0.92        2.31        0.00        3.48        0.00        0.00        0.00       20.08
        0.94        2.36        4.76        2.29        0.00        0.00        0.00       20.05
        0.97        2.41        5.19        3.68        0.00        0.00        0.00       20.05
        0.98        2.46        5.71        5.11        0.00        0.00        0.00       20.10
        1.00        2.51        5.19        5.11        0.00        0.00        0.00       20.10
        1.03        2.56        4.76        4.87        0.00        0.00        0.00       20.03
        1.04        2.61        4.76        4.76        0.00        0.00        0.00       20.03
        1.07        2.66        5.19        4.78        0.00        0.00        0.00       20.02
        1.08        2.71        4.76        4.78        0.00        0.00        0.00       20.02
        1.08        2.81        4.40        4.50        0.00        0.00        0.00       20.14
        1.08        2.86        4.40        4.32        0.00        0.00        0.00       20.93
        1.08        2.91        4.76        4.41        0.00        0.00        0.00       20.93
        1.08        2.96        4.76        4.59        0.00        0.00        0.00       21.89
        1.08        3.01        4.76        4.76        0.00        0.00        0.00       21.89
        1.08        3.06        4.76        4.76        0.00        0.00        0.00       23.23
        1.08        3.11        4.76        4.76        0.00        0.00        0.00       23.23
        1.08        3.16        4.40        4.58        0.00        0.00        0.00       25.43
        1.08        3.21        5.19        4.69        0.00        0.00        0.00       25.43
        1.08        3.26        4.40        4.78        0.00        0.00        0.00       27.81
        1.08        3.31        4.76        4.58        0.00        0.00        0.00       27.81
        1.08        3.36        4.76        4.78        0.00        0.00        0.00       30.35
        1.08        3.41        4.76        4.98        0.00        0.00        0.00       30.35
        1.08        3.46        4.76        4.87        0.00        0.00        0.00       32.98
        1.08        3.51        4.76        4.76        0.00        0.00        0.00       32.98
        1.08        3.56        4.76        4.76        0.00        0.00        0.00       35.98
        1.08        3.61        4.76        4.76        0.00        0.00        0.00       35.98
        1.08        3.66        4.76        4.76        0.00        0.00        0.00       38.66
        1.08        3.71        5.19        4.98        0.00        0.00        0.00       38.66
        1.08        3.76        4.76        4.98        0.00        0.00        0.00       41.87
        1.08        3.81        4.76        4.76        0.00        0.00        0.00       41.87
        1.08        3.86        0.00        3.48        0.00        0.00        0.00       44.80
        1.08        3.91        4.40        3.39        0.00        0.00        0.00       44.80
        1.08        3.96        5.71        4.91        0.00        0.00        0.00       47.73
        1.08        4.01        0.00        2.62        0.00        0.00        0.00       47.73
        1.08        4.06        0.00        0.00        0.00        0.00        0.00       47.73
        1.08        4.11        0.00        1.19        0.00        0.00        0.00       50.72
        1.08        4.16        0.00        1.19        0.00        0.00        0.00       50.72
        1.08        4.21        0.00        0.00        0.00        0.00        0.00       53.64
        1.08        4.26        0.00        0.00        0.00        0.00        0.00       53.64
        1.08        4.31        0.00        0.00        0.00        0.00        0.00       56.56
        1.08        4.41        0.00        0.00      -90.00        0.00       -8.10       59.46
        1.08        4.46       -4.76       -1.19      -90.00        0.00       -9.00       59.46
        1.08        4.51        0.00       -2.62      -90.00        0.00       -9.66       61.75
        1.08        4.56       -7.13       -4.40      -90.00        0.00      -10.38       61.75
        1.08        4.61        0.00       -5.00      -90.00        0.00      -11.14       63.74
        1.08        4.66       -7.13       -3.81      -90.00        0.00      -11.99       63.74
        1.08        4.71       -8.13       -3.81      -90.00        0.00      -12.89       65.19
        1.08        4.76        0.00       -2.03      -90.00        0.00      -13.56       65.19
        1.08        4.81      -11.31       -5.19      -90.00        0.00      -14.48       65.89
        1.08        4.86       -9.46       -9.92      -90.00        0.00      -15.22       65.89
        1.08        4.91      -11.31       -9.92      -90.00        0.00      -15.83       66.41
        1.08        4.96      -11.31      -10.85      -90.00        0.00      -16.59       66.41
        1.08        5.01      -11.31      -11.51      -90.00        0.00      -17.31       66.71
        1.08        5.06      -11.31      -11.51      -90.00        0.00      -18.10       66.71
        1.08        5.11      -11.31      -11.31      -90.00        0.00      -18.86       66.71
        1.08        5.16      -12.99      -12.41      -90.00        0.00      -19.58       66.71
        1.08        5.21      -14.04      -13.78      -90.00        0.00      -20.29       66.46
        1.08        5.26      -14.04      -14.04      -90.00        0.00      -21.03       66.46
        1.08        5.31      -15.26      -14.34      -90.00        0.00      -21.77       66.14
        1.08        5.36      -14.04      -14.34      -90.00        0.00      -22.45       66.14
        1.08        5.41      -14.04      -14.51      -90.00        0.00      -23.20       65.88
        1.08        5.46      -14.04      -14.99      -90.00        0.00      -24.00       65.88
        1.08        5.51      -18.43      -15.92      -90.00        0.00      -24.72       65.52
        1.08        5.56      -16.70      -16.77      -90.00        0.00      -25.33       65.52
        1.08        5.61      -18.43      -17.57      -90.00        0.00      -25.96       64.94
        1.08        5.66      -16.70      -18.00      -90.00        0.00      -26.63       64.94
        1.08        5.71      -18.43      -18.00      -90.00        0.00      -27.39       64.31
